Total Nacional;Comunidades y Ciudades Autónomas;Ámbito de estudio;Tasas de actividad, empleo y paro;Total
Total nacional;Andalucía;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de actividad;86,8
Total nacional;Andalucía;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de empleo;75,8
Total nacional;Andalucía;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de paro;12,7
Total nacional;Andalucía;Economía;Tasa de actividad;91,1
Total nacional;Andalucía;Economía;Tasa de empleo;84,3
Total nacional;Andalucía;Economía;Tasa de paro;7,4
Total nacional;Andalucía;Psicología;Tasa de actividad;83,9
Total nacional;Andalucía;Psicología;Tasa de empleo;74,4
Total nacional;Andalucía;Psicología;Tasa de paro;11,4
Total nacional;Andalucía;Ciencias sociales y del comportamiento (Otros estudios);Tasa de actividad;80,8
Total nacional;Andalucía;Ciencias sociales y del comportamiento (Otros estudios);Tasa de empleo;68,3
Total nacional;Andalucía;Ciencias sociales y del comportamiento (Otros estudios);Tasa de paro;15,5
Total nacional;Andalucía;Periodismo y documentación;Tasa de actividad;96,4
Total nacional;Andalucía;Periodismo y documentación;Tasa de empleo;77,7
Total nacional;Andalucía;Periodismo y documentación;Tasa de paro;19,4
Total nacional;Andalucía;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de actividad;85,5
Total nacional;Andalucía;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de empleo;72,5
Total nacional;Andalucía;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de paro;15,1
Total nacional;Andalucía;Dirección y administración;Tasa de actividad;88,9
Total nacional;Andalucía;Dirección y administración;Tasa de empleo;75,3
Total nacional;Andalucía;Dirección y administración;Tasa de paro;15,3
Total nacional;Andalucía;Negocios y administración (Otros estudios);Tasa de actividad;87,6
Total nacional;Andalucía;Negocios y administración (Otros estudios);Tasa de empleo;71,9
Total nacional;Andalucía;Negocios y administración (Otros estudios);Tasa de paro;17,9
Total nacional;Andalucía;Derecho;Tasa de actividad;77,5
Total nacional;Andalucía;Derecho;Tasa de empleo;66,9
Total nacional;Andalucía;Derecho;Tasa de paro;13,6
Total nacional;Andalucía;05 - CIENCIAS;Tasa de actividad;91,8
Total nacional;Andalucía;05 - CIENCIAS;Tasa de empleo;77,8
Total nacional;Andalucía;05 - CIENCIAS;Tasa de paro;15,3
Total nacional;Andalucía;Ciencias de la vida;Tasa de actividad;88,4
Total nacional;Andalucía;Ciencias de la vida;Tasa de empleo;75,8
Total nacional;Andalucía;Ciencias de la vida;Tasa de paro;14,2
Total nacional;Andalucía;Medio ambiente;Tasa de actividad;93,4
Total nacional;Andalucía;Medio ambiente;Tasa de empleo;76,0
Total nacional;Andalucía;Medio ambiente;Tasa de paro;18,7
Total nacional;Andalucía;Ciencias químicas, físicas y geológicas;Tasa de actividad;93,6
Total nacional;Andalucía;Ciencias químicas, físicas y geológicas;Tasa de empleo;75,3
Total nacional;Andalucía;Ciencias químicas, físicas y geológicas;Tasa de paro;19,6
Total nacional;Andalucía;Matemáticas y estadística;Tasa de actividad;97,1
Total nacional;Andalucía;Matemáticas y estadística;Tasa de empleo;94,3
Total nacional;Andalucía;Matemáticas y estadística;Tasa de paro;2,9
Total nacional;Andalucía;06 - INFORMÁTICA;Tasa de actividad;98,8
Total nacional;Andalucía;06 - INFORMÁTICA;Tasa de empleo;95,3
Total nacional;Andalucía;06 - INFORMÁTICA;Tasa de paro;3,6
Total nacional;Andalucía;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de actividad;95,1
Total nacional;Andalucía;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de empleo;87,5
Total nacional;Andalucía;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de paro;8,0
Total nacional;Andalucía;Ingeniería y profesiones afines;Tasa de actividad;99,0
Total nacional;Andalucía;Ingeniería y profesiones afines;Tasa de empleo;92,7
Total nacional;Andalucía;Ingeniería y profesiones afines;Tasa de paro;6,3
Total nacional;Andalucía;Industria manufacturera y producción;Tasa de actividad;94,0
Total nacional;Andalucía;Industria manufacturera y producción;Tasa de empleo;90,1
Total nacional;Andalucía;Industria manufacturera y producción;Tasa de paro;4,2
Total nacional;Andalucía;Arquitectura y construcción;Tasa de actividad;90,0
Total nacional;Andalucía;Arquitectura y construcción;Tasa de empleo;80,2
Total nacional;Andalucía;Arquitectura y construcción;Tasa de paro;10,9
Total nacional;Andalucía;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de actividad;92,5
Total nacional;Andalucía;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de empleo;86,9
Total nacional;Andalucía;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de paro;6,0
Total nacional;Andalucía;Agricultura y ganadería;Tasa de actividad;97,5
Total nacional;Andalucía;Agricultura y ganadería;Tasa de empleo;88,7
Total nacional;Andalucía;Agricultura y ganadería;Tasa de paro;9,0
Total nacional;Andalucía;Silvicultura;Tasa de actividad;90,6
Total nacional;Andalucía;Silvicultura;Tasa de empleo;84,5
Total nacional;Andalucía;Silvicultura;Tasa de paro;6,6
Total nacional;Andalucía;Veterinaria;Tasa de actividad;85,7
Total nacional;Andalucía;Veterinaria;Tasa de empleo;85,7
Total nacional;Andalucía;Veterinaria;Tasa de paro;0,0
Total nacional;Andalucía;09 - SALUD Y SERVICIOS SOCIALES;Tasa de actividad;94,2
Total nacional;Andalucía;09 - SALUD Y SERVICIOS SOCIALES;Tasa de empleo;86,8
Total nacional;Andalucía;09 - SALUD Y SERVICIOS SOCIALES;Tasa de paro;7,8
Total nacional;Andalucía;Medicina;Tasa de actividad;98,9
Total nacional;Andalucía;Medicina;Tasa de empleo;94,6
Total nacional;Andalucía;Medicina;Tasa de paro;4,4
Total nacional;Andalucía;Enfermería;Tasa de actividad;96,6
Total nacional;Andalucía;Enfermería;Tasa de empleo;90,7
Total nacional;Andalucía;Enfermería;Tasa de paro;6,1
Total nacional;Andalucía;Salud (Otros estudios);Tasa de actividad;92,9
Total nacional;Andalucía;Salud (Otros estudios);Tasa de empleo;85,6
Total nacional;Andalucía;Salud (Otros estudios);Tasa de paro;7,8
Total nacional;Andalucía;Servicios sociales;Tasa de actividad;85,6
Total nacional;Andalucía;Servicios sociales;Tasa de empleo;71,1
Total nacional;Andalucía;Servicios sociales;Tasa de paro;16,9
Total nacional;Andalucía;10 - SERVICIOS;Tasa de actividad;89,4
Total nacional;Andalucía;10 - SERVICIOS;Tasa de empleo;82,1
Total nacional;Andalucía;10 - SERVICIOS;Tasa de paro;8,1
Total nacional;Andalucía;Actividades físicas y deportivas;Tasa de actividad;91,4
Total nacional;Andalucía;Actividades físicas y deportivas;Tasa de empleo;87,6
Total nacional;Andalucía;Actividades físicas y deportivas;Tasa de paro;4,2
Total nacional;Andalucía;Viajes, turismo y ocio;Tasa de actividad;87,3
Total nacional;Andalucía;Viajes, turismo y ocio;Tasa de empleo;77,9
Total nacional;Andalucía;Viajes, turismo y ocio;Tasa de paro;10,7
Total nacional;Andalucía;Servicios (Otros estudios);Tasa de actividad;95,7
Total nacional;Andalucía;Servicios (Otros estudios);Tasa de empleo;77,2
Total nacional;Andalucía;Servicios (Otros estudios);Tasa de paro;19,3
Total nacional;Aragón;TOTAL;Tasa de actividad;93,3
Total nacional;Aragón;TOTAL;Tasa de empleo;86,7
Total nacional;Aragón;TOTAL;Tasa de paro;7,1
Total nacional;Aragón;01 - EDUCACIÓN;Tasa de actividad;95,1
Total nacional;Aragón;01 - EDUCACIÓN;Tasa de empleo;86,2
Total nacional;Aragón;01 - EDUCACIÓN;Tasa de paro;9,4
Total nacional;Aragón;Formación de docentes de enseñanza infantil;Tasa de actividad;95,1
Total nacional;Aragón;Formación de docentes de enseñanza infantil;Tasa de empleo;83,6
Total nacional;Aragón;Formación de docentes de enseñanza infantil;Tasa de paro;12,1
Total nacional;Aragón;Formación de docentes de enseñanza primaria;Tasa de actividad;95,4
Total nacional;Aragón;Formación de docentes de enseñanza primaria;Tasa de empleo;87,8
Total nacional;Aragón;Formación de docentes de enseñanza primaria;Tasa de paro;7,9
Total nacional;Aragón;Educación (Otros estudios);Tasa de actividad;94,7
Total nacional;Aragón;Educación (Otros estudios);Tasa de empleo;87,1
Total nacional;Aragón;Educación (Otros estudios);Tasa de paro;8,0
Total nacional;Aragón;02 - ARTES Y HUMANIDADES;Tasa de actividad;90,1
Total nacional;Aragón;02 - ARTES Y HUMANIDADES;Tasa de empleo;76,7
Total nacional;Aragón;02 - ARTES Y HUMANIDADES;Tasa de paro;14,9
Total nacional;Aragón;Técnicas audiovisuales y medios de comunicación;Tasa de actividad;83,3
Total nacional;Aragón;Técnicas audiovisuales y medios de comunicación;Tasa de empleo;83,3
Total nacional;Aragón;Técnicas audiovisuales y medios de comunicación;Tasa de paro;0,0
Total nacional;Aragón;Artes (Otros estudios);Tasa de actividad;91,5
Total nacional;Aragón;Artes (Otros estudios);Tasa de empleo;79,5
Total nacional;Aragón;Artes (Otros estudios);Tasa de paro;13,2
Total nacional;Aragón;Humanidades;Tasa de actividad;85,2
Total nacional;Aragón;Humanidades;Tasa de empleo;70,9
Total nacional;Aragón;Humanidades;Tasa de paro;16,8
Total nacional;Aragón;Lenguas;Tasa de actividad;93,6
Total nacional;Aragón;Lenguas;Tasa de empleo;78,6
Total nacional;Aragón;Lenguas;Tasa de paro;16,0
Total nacional;Aragón;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de actividad;93,5
Total nacional;Aragón;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de empleo;82,8
Total nacional;Aragón;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de paro;11,4
Total nacional;Aragón;Economía;Tasa de actividad;93,9
Total nacional;Aragón;Economía;Tasa de empleo;87,4
Total nacional;Aragón;Economía;Tasa de paro;6,9
Total nacional;Aragón;Psicología;Tasa de actividad;87,2
Total nacional;Aragón;Psicología;Tasa de empleo;78,1
Total nacional;Aragón;Psicología;Tasa de paro;10,5
Total nacional;Aragón;Ciencias sociales y del comportamiento (Otros estudios);Tasa de actividad;100,0
Total nacional;Aragón;Ciencias sociales y del comportamiento (Otros estudios);Tasa de empleo;78,9
Total nacional;Aragón;Ciencias sociales y del comportamiento (Otros estudios);Tasa de paro;21,1
Total nacional;Aragón;Periodismo y documentación;Tasa de actividad;95,2
Total nacional;Aragón;Periodismo y documentación;Tasa de empleo;80,7
Total nacional;Aragón;Periodismo y documentación;Tasa de paro;15,2
Total nacional;Aragón;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de actividad;88,3
Total nacional;Aragón;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de empleo;81,4
Total nacional;Aragón;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de paro;7,8
Total nacional;Aragón;Dirección y administración;Tasa de actividad;91,4
Total nacional;Aragón;Dirección y administración;Tasa de empleo;86,7
Total nacional;Aragón;Dirección y administración;Tasa de paro;5,2
Total nacional;Aragón;Negocios y administración (Otros estudios);Tasa de actividad;95,1
Total nacional;Aragón;Negocios y administración (Otros estudios);Tasa de empleo;84,5
Total nacional;Aragón;Negocios y administración (Otros estudios);Tasa de paro;11,1
Total nacional;Aragón;Derecho;Tasa de actividad;82,8
Total nacional;Aragón;Derecho;Tasa de empleo;73,7
Total nacional;Aragón;Derecho;Tasa de paro;11,0
Total nacional;Aragón;05 - CIENCIAS;Tasa de actividad;93,9
Total nacional;Aragón;05 - CIENCIAS;Tasa de empleo;88,3
Total nacional;Aragón;05 - CIENCIAS;Tasa de paro;5,9
Total nacional;Aragón;Ciencias de la vida;Tasa de actividad;100,0
Total nacional;Aragón;Ciencias de la vida;Tasa de empleo;92,8
Total nacional;Aragón;Ciencias de la vida;Tasa de paro;7,2
Total nacional;Aragón;Medio ambiente;Tasa de actividad;94,9
Total nacional;Aragón;Medio ambiente;Tasa de empleo;71,1
Total nacional;Aragón;Medio ambiente;Tasa de paro;25,1
Total nacional;Aragón;Ciencias químicas, físicas y geológicas;Tasa de actividad;90,1
Total nacional;Aragón;Ciencias químicas, físicas y geológicas;Tasa de empleo;86,7
Total nacional;Aragón;Ciencias químicas, físicas y geológicas;Tasa de paro;3,8
Total nacional;Aragón;Matemáticas y estadística;Tasa de actividad;100,0
Total nacional;Aragón;Matemáticas y estadística;Tasa de empleo;100,0
Total nacional;Aragón;Matemáticas y estadística;Tasa de paro;0,0
Total nacional;Aragón;06 - INFORMÁTICA;Tasa de actividad;100,0
Total nacional;Aragón;06 - INFORMÁTICA;Tasa de empleo;98,3
Total nacional;Aragón;06 - INFORMÁTICA;Tasa de paro;1,7
Total nacional;Aragón;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de actividad;96,8
Total nacional;Aragón;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de empleo;92,0
Total nacional;Aragón;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de paro;5,0
Total nacional;Aragón;Ingeniería y profesiones afines;Tasa de actividad;97,2
Total nacional;Aragón;Ingeniería y profesiones afines;Tasa de empleo;91,8
Total nacional;Aragón;Ingeniería y profesiones afines;Tasa de paro;5,6
Total nacional;Aragón;Industria manufacturera y producción;Tasa de actividad;95,9
Total nacional;Aragón;Industria manufacturera y producción;Tasa de empleo;87,7
Total nacional;Aragón;Industria manufacturera y producción;Tasa de paro;8,5
Total nacional;Aragón;Arquitectura y construcción;Tasa de actividad;95,7
Total nacional;Aragón;Arquitectura y construcción;Tasa de empleo;93,3
Total nacional;Aragón;Arquitectura y construcción;Tasa de paro;2,5
Total nacional;Aragón;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de actividad;93,8
Total nacional;Aragón;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de empleo;82,7
Total nacional;Aragón;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de paro;11,8
Total nacional;Aragón;Agricultura y ganadería;Tasa de actividad;100,0
Total nacional;Aragón;Agricultura y ganadería;Tasa de empleo;96,7
Total nacional;Aragón;Agricultura y ganadería;Tasa de paro;3,3
Total nacional;Aragón;Silvicultura;Tasa de actividad;0,0
Total nacional;Aragón;Silvicultura;Tasa de empleo;0,0
Total nacional;Aragón;Silvicultura;Tasa de paro;0,0
Total nacional;Aragón;Veterinaria;Tasa de actividad;91,5
Total nacional;Aragón;Veterinaria;Tasa de empleo;77,8
Total nacional;Aragón;Veterinaria;Tasa de paro;15,0
Total nacional;Aragón;09 - SALUD Y SERVICIOS SOCIALES;Tasa de actividad;94,7
Total nacional;Aragón;09 - SALUD Y SERVICIOS SOCIALES;Tasa de empleo;91,5
Total nacional;Aragón;09 - SALUD Y SERVICIOS SOCIALES;Tasa de paro;3,4
Total nacional;Aragón;Medicina;Tasa de actividad;100,0
Total nacional;Aragón;Medicina;Tasa de empleo;96,7
Total nacional;Aragón;Medicina;Tasa de paro;3,3
Total nacional;Aragón;Enfermería;Tasa de actividad;93,9
Total nacional;Aragón;Enfermería;Tasa de empleo;92,3
Total nacional;Aragón;Enfermería;Tasa de paro;1,7
Total nacional;Aragón;Salud (Otros estudios);Tasa de actividad;90,1
Total nacional;Aragón;Salud (Otros estudios);Tasa de empleo;88,6
Total nacional;Aragón;Salud (Otros estudios);Tasa de paro;1,7
Total nacional;Aragón;Servicios sociales;Tasa de actividad;98,0
Total nacional;Aragón;Servicios sociales;Tasa de empleo;89,3
Total nacional;Aragón;Servicios sociales;Tasa de paro;9,0
Total nacional;Aragón;10 - SERVICIOS;Tasa de actividad;95,8
Total nacional;Aragón;10 - SERVICIOS;Tasa de empleo;91,4
Total nacional;Aragón;10 - SERVICIOS;Tasa de paro;4,6
Total nacional;Aragón;Actividades físicas y deportivas;Tasa de actividad;93,2
Total nacional;Aragón;Actividades físicas y deportivas;Tasa de empleo;89,7
Total nacional;Aragón;Actividades físicas y deportivas;Tasa de paro;3,7
Total nacional;Aragón;Viajes, turismo y ocio;Tasa de actividad;97,9
Total nacional;Aragón;Viajes, turismo y ocio;Tasa de empleo;92,8
Total nacional;Aragón;Viajes, turismo y ocio;Tasa de paro;5,3
Total nacional;Aragón;Servicios (Otros estudios);Tasa de actividad;0,0
Total nacional;Aragón;Servicios (Otros estudios);Tasa de empleo;0,0
Total nacional;Aragón;Servicios (Otros estudios);Tasa de paro;0,0
Total nacional;Asturias, Principado de;TOTAL;Tasa de actividad;92,5
Total nacional;Asturias, Principado de;TOTAL;Tasa de empleo;84,4
Total nacional;Asturias, Principado de;TOTAL;Tasa de paro;8,7
